iter=112 n_episodes=6 episode_len=765 total_reward=-146.65824048617998
iter=158 n_episodes=7 episode_len=46 total_reward=-126.67215645850357
iter=204 n_episodes=8 episode_len=46 total_reward=-128.82165363649318
iter=251 n_episodes=9 episode_len=47 total_reward=-124.75763393671843
iter=307 n_episodes=10 episode_len=56 total_reward=-109.92550754151658
iter=1370 n_episodes=11 episode_len=1063 total_reward=-205.2391778907556
iter=1436 n_episodes=12 episode_len=66 total_reward=-106.05561968806931
iter=1484 n_episodes=13 episode_len=48 total_reward=-108.53280824830912
iter=1525 n_episodes=14 episode_len=41 total_reward=-105.45808783736912
iter=1570 n_episodes=15 episode_len=45 total_reward=-105.70052609552631
iter=1616 n_episodes=16 episode_len=46 total_reward=-105.73410785575265
iter=1672 n_episodes=17 episode_len=56 total_reward=-102.09323757302889
iter=1714 n_episodes=18 episode_len=42 total_reward=-104.37707709337836
iter=1763 n_episodes=19 episode_len=49 total_reward=-102.51493377034203
iter=1810 n_episodes=20 episode_len=47 total_reward=-101.95462149594087
iter=1848 n_episodes=21 episode_len=38 total_reward=-104.34964882754997
iter=1890 n_episodes=22 episode_len=42 total_reward=-104.94201408816096
iter=1944 n_episodes=23 episode_len=54 total_reward=-104.91941794189071
iter=2017 n_episodes=24 episode_len=73 total_reward=-103.0228584152364
iter=2096 n_episodes=25 episode_len=79 total_reward=-102.94120460827381
iter=2256 n_episodes=26 episode_len=160 total_reward=-105.27312756986363
iter=2434 n_episodes=27 episode_len=178 total_reward=-108.19618617452312
iter=2542 n_episodes=28 episode_len=108 total_reward=-99.27083215353304
iter=4142 n_episodes=29 episode_len=1600 total_reward=-145.10341906621488
iter=4309 n_episodes=30 episode_len=167 total_reward=-138.9880689773879
iter=5909 n_episodes=31 episode_len=1600 total_reward=-164.9004996295223
iter=6030 n_episodes=32 episode_len=121 total_reward=-111.09127051935688
iter=6149 n_episodes=33 episode_len=119 total_reward=-104.71940414706529
iter=6256 n_episodes=34 episode_len=107 total_reward=-109.68320339849254
iter=6339 n_episodes=35 episode_len=83 total_reward=-107.21677658245723
iter=6402 n_episodes=36 episode_len=63 total_reward=-106.64159965575315
iter=6475 n_episodes=37 episode_len=73 total_reward=-104.83553684879442
iter=6539 n_episodes=38 episode_len=64 total_reward=-101.63054341123029
iter=6615 n_episodes=39 episode_len=76 total_reward=-108.01306962716706
iter=6675 n_episodes=40 episode_len=60 total_reward=-99.70369247531896
iter=6743 n_episodes=41 episode_len=68 total_reward=-104.76328709069604
iter=6810 n_episodes=42 episode_len=67 total_reward=-101.56647078256822
iter=6883 n_episodes=43 episode_len=73 total_reward=-99.83862451412789
iter=6963 n_episodes=44 episode_len=80 total_reward=-99.56746877595964
iter=7026 n_episodes=45 episode_len=63 total_reward=-104.29298390903655
iter=7096 n_episodes=46 episode_len=70 total_reward=-98.31115130738303
iter=7169 n_episodes=47 episode_len=73 total_reward=-98.6217219515321
iter=7249 n_episodes=48 episode_len=80 total_reward=-103.1935086023162
iter=7327 n_episodes=49 episode_len=78 total_reward=-125.13536834083109
iter=7417 n_episodes=50 episode_len=90 total_reward=-101.02025876029197
iter=7540 n_episodes=51 episode_len=123 total_reward=-108.59213576348456
iter=7632 n_episodes=52 episode_len=92 total_reward=-128.79506150123976
iter=7704 n_episodes=53 episode_len=72 total_reward=-119.98587387268608
iter=7877 n_episodes=54 episode_len=173 total_reward=-132.41011524986374
iter=7956 n_episodes=55 episode_len=79 total_reward=-127.26544454477109
iter=8046 n_episodes=56 episode_len=90 total_reward=-123.11917022780318
iter=8134 n_episodes=57 episode_len=88 total_reward=-128.24987850163814
iter=8210 n_episodes=58 episode_len=76 total_reward=-127.46631143073279
iter=8300 n_episodes=59 episode_len=90 total_reward=-130.76696190664467
iter=9900 n_episodes=60 episode_len=1600 total_reward=-133.63352671321533
iter=10085 n_episodes=61 episode_len=185 total_reward=-138.51719523598467
iter=11685 n_episodes=62 episode_len=1600 total_reward=-94.75769808205044
iter=13285 n_episodes=63 episode_len=1600 total_reward=-104.71846259768637
iter=14885 n_episodes=64 episode_len=1600 total_reward=-119.4014003728973
iter=16485 n_episodes=65 episode_len=1600 total_reward=-136.0497000127354
iter=16611 n_episodes=66 episode_len=126 total_reward=-123.18185422377093
iter=16656 n_episodes=67 episode_len=45 total_reward=-111.09758981480972
iter=17065 n_episodes=68 episode_len=409 total_reward=-114.59430371688433
iter=17167 n_episodes=69 episode_len=102 total_reward=-120.10575352292392
iter=18767 n_episodes=70 episode_len=1600 total_reward=-117.7550597695441
iter=20367 n_episodes=71 episode_len=1600 total_reward=-109.72224381758453
iter=20423 n_episodes=72 episode_len=56 total_reward=-115.42503453523136
iter=20504 n_episodes=73 episode_len=81 total_reward=-126.10059290946822
iter=20553 n_episodes=74 episode_len=49 total_reward=-115.72550401787987
