iter=294 n_episodes=5 episode_len=946 total_reward=-170.554728705861
iter=364 n_episodes=6 episode_len=70 total_reward=-101.16837950052947
iter=431 n_episodes=7 episode_len=67 total_reward=-99.72193423183978
iter=480 n_episodes=8 episode_len=49 total_reward=-105.26485804786813
iter=640 n_episodes=9 episode_len=160 total_reward=-140.8119331109409
iter=748 n_episodes=10 episode_len=108 total_reward=-111.28318902582082
iter=823 n_episodes=11 episode_len=75 total_reward=-113.70143788042193
iter=922 n_episodes=12 episode_len=99 total_reward=-102.511239963935
iter=974 n_episodes=13 episode_len=52 total_reward=-105.63713133256933
iter=1035 n_episodes=14 episode_len=61 total_reward=-104.60316327744444
iter=1097 n_episodes=15 episode_len=62 total_reward=-104.91774473259393
iter=1153 n_episodes=16 episode_len=56 total_reward=-105.22441877438436
iter=1218 n_episodes=17 episode_len=65 total_reward=-105.45942206682066
iter=1312 n_episodes=18 episode_len=94 total_reward=-125.09752696545442
iter=1372 n_episodes=19 episode_len=60 total_reward=-120.30997588676772
iter=1429 n_episodes=20 episode_len=57 total_reward=-119.76575035683108
iter=1498 n_episodes=21 episode_len=69 total_reward=-124.75390799073698
iter=1556 n_episodes=22 episode_len=58 total_reward=-122.56483357713822
iter=1613 n_episodes=23 episode_len=57 total_reward=-119.78039476279704
iter=1660 n_episodes=24 episode_len=47 total_reward=-122.49867029109522
iter=1704 n_episodes=25 episode_len=44 total_reward=-122.67765596476717
iter=1750 n_episodes=26 episode_len=46 total_reward=-122.33358557867393
iter=1813 n_episodes=27 episode_len=63 total_reward=-110.97957239243244
iter=1863 n_episodes=28 episode_len=50 total_reward=-111.90659453449976
iter=1919 n_episodes=29 episode_len=56 total_reward=-113.48612080994309
iter=1978 n_episodes=30 episode_len=59 total_reward=-112.31637041390368
iter=2026 n_episodes=31 episode_len=48 total_reward=-110.92282330628791
iter=2102 n_episodes=32 episode_len=76 total_reward=-114.79143557728486
iter=2172 n_episodes=33 episode_len=70 total_reward=-114.22148738831038
iter=2267 n_episodes=34 episode_len=95 total_reward=-122.30826859319605
iter=2307 n_episodes=35 episode_len=40 total_reward=-106.790800485817
iter=2384 n_episodes=36 episode_len=77 total_reward=-110.49387630043702
iter=2831 n_episodes=37 episode_len=447 total_reward=-139.13818828690918
iter=2938 n_episodes=38 episode_len=107 total_reward=-123.43250799557185
iter=3025 n_episodes=39 episode_len=87 total_reward=-122.7155461890285
iter=3124 n_episodes=40 episode_len=99 total_reward=-120.82649235566085
iter=3209 n_episodes=41 episode_len=85 total_reward=-110.07125232934074
iter=3289 n_episodes=42 episode_len=80 total_reward=-111.86267493522607
iter=4049 n_episodes=43 episode_len=760 total_reward=-174.26000577373597
iter=4156 n_episodes=44 episode_len=107 total_reward=-98.6010144440878
iter=4256 n_episodes=45 episode_len=100 total_reward=-108.20399718336853
iter=4310 n_episodes=46 episode_len=54 total_reward=-114.33031712303767
iter=4387 n_episodes=47 episode_len=77 total_reward=-119.51464213101042
iter=4481 n_episodes=48 episode_len=94 total_reward=-108.36347901276075
iter=4563 n_episodes=49 episode_len=82 total_reward=-122.70645925234183
iter=4704 n_episodes=50 episode_len=141 total_reward=-132.8929750411784
iter=4947 n_episodes=51 episode_len=243 total_reward=-129.80013351028967
iter=5016 n_episodes=52 episode_len=69 total_reward=-116.96616291121073
iter=5144 n_episodes=53 episode_len=128 total_reward=-120.1270374807674
iter=5215 n_episodes=54 episode_len=71 total_reward=-118.78925529757993
iter=5296 n_episodes=55 episode_len=81 total_reward=-122.41454473329789
iter=5946 n_episodes=56 episode_len=650 total_reward=-166.43761913582853
iter=7546 n_episodes=57 episode_len=1600 total_reward=-65.86789122475825
iter=7823 n_episodes=58 episode_len=277 total_reward=-147.57868188958867
iter=8129 n_episodes=59 episode_len=306 total_reward=-129.42477378676548
iter=8217 n_episodes=60 episode_len=88 total_reward=-124.15158985259455
iter=8280 n_episodes=61 episode_len=63 total_reward=-118.70168170572256
iter=8342 n_episodes=62 episode_len=62 total_reward=-116.89859429040186
iter=8424 n_episodes=63 episode_len=82 total_reward=-122.43358347480772
iter=8548 n_episodes=64 episode_len=124 total_reward=-106.02816092037766
iter=8634 n_episodes=65 episode_len=86 total_reward=-115.67878608918286
iter=8693 n_episodes=66 episode_len=59 total_reward=-104.06307572523275
iter=8772 n_episodes=67 episode_len=79 total_reward=-105.02671976690208
iter=8842 n_episodes=68 episode_len=70 total_reward=-102.55457468563363
iter=8929 n_episodes=69 episode_len=87 total_reward=-102.69009805878655
iter=9031 n_episodes=70 episode_len=102 total_reward=-106.00639080193723
iter=9112 n_episodes=71 episode_len=81 total_reward=-122.47901959957917
iter=9186 n_episodes=72 episode_len=74 total_reward=-99.58149970931764
iter=9260 n_episodes=73 episode_len=74 total_reward=-98.45504357756288
iter=9601 n_episodes=74 episode_len=341 total_reward=-116.05845403352856
iter=9674 n_episodes=75 episode_len=73 total_reward=-102.38510206785841
iter=9753 n_episodes=76 episode_len=79 total_reward=-105.02175460512635
iter=9842 n_episodes=77 episode_len=89 total_reward=-100.42525410688773
iter=10917 n_episodes=78 episode_len=1075 total_reward=-188.97589376827835
iter=10964 n_episodes=79 episode_len=47 total_reward=-104.48916029270096
iter=11031 n_episodes=80 episode_len=67 total_reward=-102.66756675434256
iter=11126 n_episodes=81 episode_len=95 total_reward=-100.94780592850374
iter=11180 n_episodes=82 episode_len=54 total_reward=-104.09196619683028
iter=11234 n_episodes=83 episode_len=54 total_reward=-103.68202212627995
iter=11310 n_episodes=84 episode_len=76 total_reward=-103.42204313726273
iter=11397 n_episodes=85 episode_len=87 total_reward=-105.97129765630949
iter=11496 n_episodes=86 episode_len=99 total_reward=-101.97146971578957
iter=11584 n_episodes=87 episode_len=88 total_reward=-102.4428835592021
iter=11663 n_episodes=88 episode_len=79 total_reward=-107.63815473681561
