iter=170 n_episodes=1 episode_len=1170 total_reward=-166.55880850459693
iter=250 n_episodes=2 episode_len=80 total_reward=-122.28220975506979
iter=298 n_episodes=3 episode_len=48 total_reward=-120.97993311296096
iter=378 n_episodes=4 episode_len=80 total_reward=-118.39096383077535
iter=418 n_episodes=5 episode_len=40 total_reward=-110.4468520575372
iter=523 n_episodes=6 episode_len=105 total_reward=-127.57853782127162
iter=565 n_episodes=7 episode_len=42 total_reward=-123.36644902210915
iter=606 n_episodes=8 episode_len=41 total_reward=-123.84768741407541
iter=647 n_episodes=9 episode_len=41 total_reward=-123.71077324945283
iter=688 n_episodes=10 episode_len=41 total_reward=-124.08922800803666
iter=730 n_episodes=11 episode_len=42 total_reward=-121.33094138698485
iter=815 n_episodes=12 episode_len=85 total_reward=-111.97054780900955
iter=854 n_episodes=13 episode_len=39 total_reward=-119.43566947535065
iter=988 n_episodes=14 episode_len=134 total_reward=-113.65926752093746
iter=1612 n_episodes=15 episode_len=624 total_reward=-165.0531287082921
iter=1662 n_episodes=16 episode_len=50 total_reward=-112.34254036353404
iter=1747 n_episodes=17 episode_len=85 total_reward=-113.15006663941055
iter=1826 n_episodes=18 episode_len=79 total_reward=-111.69174597508622
iter=1918 n_episodes=19 episode_len=92 total_reward=-109.68238818542686
iter=2011 n_episodes=20 episode_len=93 total_reward=-105.11845416562227
iter=2120 n_episodes=21 episode_len=109 total_reward=-105.0253459058858
iter=2208 n_episodes=22 episode_len=88 total_reward=-103.1969678066095
iter=2301 n_episodes=23 episode_len=93 total_reward=-101.65892511039553
iter=2397 n_episodes=24 episode_len=96 total_reward=-104.97142701929502
iter=2515 n_episodes=25 episode_len=118 total_reward=-105.7210286752073
iter=2586 n_episodes=26 episode_len=71 total_reward=-114.41739579038074
iter=2638 n_episodes=27 episode_len=52 total_reward=-110.3754824675255
iter=2672 n_episodes=28 episode_len=34 total_reward=-106.60546058783726
iter=2720 n_episodes=29 episode_len=48 total_reward=-111.03867269353366
iter=2749 n_episodes=30 episode_len=29 total_reward=-105.86313399969414
iter=2798 n_episodes=31 episode_len=49 total_reward=-110.56550689831008
iter=2844 n_episodes=32 episode_len=46 total_reward=-110.76478558539016
iter=2988 n_episodes=33 episode_len=144 total_reward=-129.5944295851346
iter=3077 n_episodes=34 episode_len=89 total_reward=-100.71124258052461
iter=3147 n_episodes=35 episode_len=70 total_reward=-102.03084234198211
iter=3273 n_episodes=36 episode_len=126 total_reward=-135.8125384814159
iter=3332 n_episodes=37 episode_len=59 total_reward=-99.15290835419934
iter=3391 n_episodes=38 episode_len=59 total_reward=-105.8150245893859
